date,home_team,away_team,home_score,away_score,tournament,country,neutral,resultado,home_code,away_code
2010-06-12,England,United States,1,1,World Cup,South Africa,True,0,22,69
2010-06-13,Germany,Australia,4,0,World Cup,South Africa,True,1,24,3
2010-06-13,Ghana,Serbia,1,0,World Cup,South Africa,True,1,25,53
2010-06-13,Slovenia,Algeria,1,0,World Cup,South Africa,True,1,56,0
2010-06-14,Japan,Cameroon,1,0,World Cup,South Africa,True,1,34,10
2010-06-14,Italy,Paraguay,1,1,World Cup,South Africa,True,0,31,43
2010-06-14,Netherlands,Denmark,2,0,World Cup,South Africa,True,1,37,19
2010-06-15,Brazil,North Korea,2,1,World Cup,South Africa,True,1,8,40
2010-06-15,Ivory Coast,Portugal,0,0,World Cup,South Africa,True,0,32,46
2010-06-15,New Zealand,Slovakia,1,1,World Cup,South Africa,True,0,38,55
2010-06-16,South Africa,Uruguay,0,3,World Cup,South Africa,False,2,57,70
2010-06-16,Chile,Honduras,1,0,World Cup,South Africa,True,1,12,27
2010-06-16,Switzerland,Spain,1,0,World Cup,South Africa,True,1,62,60
2010-06-17,Argentina,South Korea,4,1,World Cup,South Africa,True,1,2,58
2010-06-17,Greece,Nigeria,2,1,World Cup,South Africa,True,1,26,39
2010-06-17,Mexico,France,2,0,World Cup,South Africa,True,1,35,23
2010-06-18,Algeria,England,0,0,World Cup,South Africa,True,0,0,22
2010-06-18,Slovenia,United States,2,2,World Cup,South Africa,True,0,56,69
2010-06-18,Serbia,Germany,1,0,World Cup,South Africa,True,1,53,24
2010-06-19,Netherlands,Japan,1,0,World Cup,South Africa,True,1,37,34
2010-06-19,Australia,Ghana,1,1,World Cup,South Africa,True,0,3,25
2010-06-19,Denmark,Cameroon,2,1,World Cup,South Africa,True,1,19,10
2010-06-20,Brazil,Ivory Coast,3,1,World Cup,South Africa,True,1,8,32
2010-06-20,Paraguay,Slovakia,2,0,World Cup,South Africa,True,1,43,55
2010-06-20,Italy,New Zealand,1,1,World Cup,South Africa,True,0,31,38
2010-06-21,Portugal,North Korea,7,0,World Cup,South Africa,True,1,46,40
2010-06-21,Spain,Honduras,2,0,World Cup,South Africa,True,1,60,27
2010-06-21,Chile,Switzerland,1,0,World Cup,South Africa,True,1,12,62
2010-06-22,Nigeria,South Korea,2,2,World Cup,South Africa,True,0,39,58
2010-06-22,South Africa,France,2,1,World Cup,South Africa,False,1,57,23
2010-06-22,Uruguay,Mexico,1,0,World Cup,South Africa,True,1,70,35
2010-06-22,Argentina,Greece,2,0,World Cup,South Africa,True,1,2,26
2010-06-23,Australia,Serbia,2,1,World Cup,South Africa,True,1,3,53
2010-06-23,Germany,Ghana,1,0,World Cup,South Africa,True,1,24,25
2010-06-23,United States,Algeria,1,0,World Cup,South Africa,True,1,69,0
2010-06-23,England,Slovenia,1,0,World Cup,South Africa,True,1,22,56
2010-06-24,Japan,Denmark,3,1,World Cup,South Africa,True,1,34,19
2010-06-24,Netherlands,Cameroon,2,1,World Cup,South Africa,True,1,37,10
2010-06-24,New Zealand,Paraguay,0,0,World Cup,South Africa,True,0,38,43
2010-06-24,Slovakia,Italy,3,2,World Cup,South Africa,True,1,55,31
2010-06-25,Ivory Coast,North Korea,3,0,World Cup,South Africa,True,1,32,40
2010-06-25,Honduras,Switzerland,0,0,World Cup,South Africa,True,0,27,62
2010-06-25,Spain,Chile,2,1,World Cup,South Africa,True,1,60,12
2010-06-25,Brazil,Portugal,0,0,World Cup,South Africa,True,0,8,46
2010-06-26,Uruguay,South Korea,2,1,World Cup,South Africa,True,1,70,58
2010-06-26,Ghana,United States,2,1,World Cup,South Africa,True,1,25,69
2010-06-27,Argentina,Mexico,3,1,World Cup,South Africa,True,1,2,35
2010-06-27,Germany,England,4,1,World Cup,South Africa,True,1,24,22
2010-06-28,Brazil,Chile,3,0,World Cup,South Africa,True,1,8,12
2010-06-28,Netherlands,Slovakia,2,1,World Cup,South Africa,True,1,37,55
2010-06-29,Japan,Paraguay,0,0,World Cup,South Africa,True,0,34,43
2010-06-29,Spain,Portugal,1,0,World Cup,South Africa,True,1,60,46
2010-07-02,Ghana,Uruguay,1,1,World Cup,South Africa,True,0,25,70
2010-07-02,Netherlands,Brazil,2,1,World Cup,South Africa,True,1,37,8
2010-07-03,Germany,Argentina,4,0,World Cup,South Africa,True,1,24,2
2010-07-03,Spain,Paraguay,1,0,World Cup,South Africa,True,1,60,43
2010-07-06,Netherlands,Uruguay,3,2,World Cup,South Africa,True,1,37,70
2010-07-07,Spain,Germany,1,0,World Cup,South Africa,True,1,60,24
2010-07-10,Germany,Uruguay,3,2,World Cup,South Africa,True,1,24,70
2010-07-11,Spain,Netherlands,1,0,World Cup,South Africa,True,1,60,37
2014-06-12,Brazil,Croatia,3,1,World Cup,Brazil,False,1,8,16
2014-06-13,Chile,Australia,3,1,World Cup,Brazil,True,1,12,3
2014-06-13,Mexico,Cameroon,1,0,World Cup,Brazil,True,1,35,10
2014-06-13,Netherlands,Spain,5,1,World Cup,Brazil,True,1,37,60
2014-06-14,Ivory Coast,Japan,2,1,World Cup,Brazil,True,1,32,34
2014-06-14,Costa Rica,Uruguay,3,1,World Cup,Brazil,True,1,15,70
2014-06-14,Colombia,Greece,3,0,World Cup,Brazil,True,1,14,26
2014-06-14,Italy,England,2,1,World Cup,Brazil,True,1,31,22
2014-06-15,France,Honduras,3,0,World Cup,Brazil,True,1,23,27
2014-06-15,Argentina,Bosnia and Herzegovina,2,1,World Cup,Brazil,True,1,2,7
2014-06-15,Switzerland,Ecuador,2,1,World Cup,Brazil,True,1,62,20
2014-06-16,Iran,Nigeria,0,0,World Cup,Brazil,True,0,29,39
2014-06-16,United States,Ghana,2,1,World Cup,Brazil,True,1,69,25
2014-06-16,Germany,Portugal,4,0,World Cup,Brazil,True,1,24,46
2014-06-17,Russia,South Korea,1,1,World Cup,Brazil,True,0,49,58
2014-06-17,Belgium,Algeria,2,1,World Cup,Brazil,True,1,5,0
2014-06-17,Brazil,Mexico,0,0,World Cup,Brazil,False,0,8,35
2014-06-18,Netherlands,Australia,3,2,World Cup,Brazil,True,1,37,3
2014-06-18,Croatia,Cameroon,4,0,World Cup,Brazil,True,1,16,10
2014-06-18,Chile,Spain,2,0,World Cup,Brazil,True,1,12,60
2014-06-19,Greece,Japan,0,0,World Cup,Brazil,True,0,26,34
2014-06-19,Colombia,Ivory Coast,2,1,World Cup,Brazil,True,1,14,32
2014-06-19,Uruguay,England,2,1,World Cup,Brazil,True,1,70,22
2014-06-20,Costa Rica,Italy,1,0,World Cup,Brazil,True,1,15,31
2014-06-20,Ecuador,Honduras,2,1,World Cup,Brazil,True,1,20,27
2014-06-20,France,Switzerland,5,2,World Cup,Brazil,True,1,23,62
2014-06-21,Argentina,Iran,1,0,World Cup,Brazil,True,1,2,29
2014-06-21,Nigeria,Bosnia and Herzegovina,1,0,World Cup,Brazil,True,1,39,7
2014-06-21,Germany,Ghana,2,2,World Cup,Brazil,True,0,24,25
2014-06-22,Algeria,South Korea,4,2,World Cup,Brazil,True,1,0,58
2014-06-22,Portugal,United States,2,2,World Cup,Brazil,True,0,46,69
2014-06-22,Belgium,Russia,1,0,World Cup,Brazil,True,1,5,49
2014-06-23,Spain,Australia,3,0,World Cup,Brazil,True,1,60,3
2014-06-23,Brazil,Cameroon,4,1,World Cup,Brazil,False,1,8,10
2014-06-23,Mexico,Croatia,3,1,World Cup,Brazil,True,1,35,16
2014-06-23,Netherlands,Chile,2,0,World Cup,Brazil,True,1,37,12
2014-06-24,Colombia,Japan,4,1,World Cup,Brazil,True,1,14,34
2014-06-24,Greece,Ivory Coast,2,1,World Cup,Brazil,True,1,26,32
2014-06-24,Costa Rica,England,0,0,World Cup,Brazil,True,0,15,22
2014-06-24,Uruguay,Italy,1,0,World Cup,Brazil,True,1,70,31
2014-06-25,Bosnia and Herzegovina,Iran,3,1,World Cup,Brazil,True,1,7,29
2014-06-25,Argentina,Nigeria,3,2,World Cup,Brazil,True,1,2,39
2014-06-25,Switzerland,Honduras,3,0,World Cup,Brazil,True,1,62,27
2014-06-25,Ecuador,France,0,0,World Cup,Brazil,True,0,20,23
2014-06-26,Belgium,South Korea,1,0,World Cup,Brazil,True,1,5,58
2014-06-26,Portugal,Ghana,2,1,World Cup,Brazil,True,1,46,25
2014-06-26,Algeria,Russia,1,1,World Cup,Brazil,True,0,0,49
2014-06-26,Germany,United States,1,0,World Cup,Brazil,True,1,24,69
2014-06-28,Colombia,Uruguay,2,0,World Cup,Brazil,True,1,14,70
2014-06-28,Brazil,Chile,1,1,World Cup,Brazil,False,0,8,12
